,project_code,standardized_text,Target_Vector,transformed_column,Predicted_Vector
10,2011.0.00396.S,using the first inteferometer h d observations to constrain clustered star forming core structure given that most stars in our galaxy form in clusters understanding the process of clustered star formation has become a key goal of star formation astronomy as a dense core collapses however the density progression and accompanying temperature changes result in well documented molecular abundance variations the consequences of this chemical evolution are twofold first we must select molecular tracers carefully for the conditions we are probing and second we can use detailed modeling of the structure chemistry and kinematics of dense cores to determine their evolutionary history and predict their future the molecular ion h d is likely the best kinematic probe of the dense core gas most actively forming stars here we propose to use the unprecedented sensitivity and resolution of to probe the kinematics and chemistry of two evolved star forming cores using h d and n h to determine observationally for the first time the h d and n h abundance structure across dense cores on scales of au through detailed modeling these data will provide much needed constraints to dynamic chemical models of core collapse in clustered environments,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 1, 0, 0, 0]","[0.006368132308125496, 0.5831329226493835, 0.033372294157743454, 0.014126632362604141, 0.2512298822402954, 0.06891383975744247, 0.025040345266461372, 0.011027807369828224, 0.006788122002035379]"
11,2011.0.00399.S,high resolution spatial kinematic structures of the tw hya disk recent studies have suggested that the magnetized protoplanetary disks can have non keplerian kinematics in order to examine the theoretical prediction we propose to observe the spatial and kinematic structures of the protoplanetary disk of the bright nearby ctts tw hya the proposed observations with extended configuration on optically thick co transition line will delineate the motion of the disk surface which is most seriously influenced by the magnetic fields of the disk we hope to obtain the most sensitive and detailed map available to date to help constrain the disk model and improve our understanding of disk kinematics in the context of planet formation,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 1, 0, 0, 0]","[0.005250133574008942, 0.03563784062862396, 0.017081664875149727, 0.009485505521297455, 0.6455767750740051, 0.25632035732269287, 0.013897937722504139, 0.011652535758912563, 0.005097169894725084]"
12,2011.0.00419.S,first images of a protoplanetary disk around a very massive protostar one of the most important questions in the field of star formation is to test if very massive stars i e stars that will become o type stars form by accretion from circumstellar disks as it is the case for low mass stars or if other phenomena are at work iras is the most massive protostar found associated with collimated jets with atca and the vla and a rotating molecular structure with the sma that probably will reveal with higher angular observations as a disk we propose to undertake observations of several tracers of dense gas that will test critically the presence of an accretion disk around this source in particular we may provide the first evidence of a keplerian signature inner parts rotating faster than the outer parts in a disk associated with a massive forming star the confirmation of an accretion disk around a massive forming star will not only prove that they form by an analogous mechanism than solar type stars but it will open the possibility of studying the physical conditions of these disks and to address questions such as if they can form not only planets but brown dwarfs and even stars as part of the project we will also search for recombination lines from the powerful thermal jet associated with this source,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 1, 0, 0, 0]","[0.005465374328196049, 0.027264488860964775, 0.015251324512064457, 0.008740334771573544, 0.6858937740325928, 0.2270330786705017, 0.013390548527240753, 0.011761898174881935, 0.005199198145419359]"
13,2011.0.00467.S,dense gas and starburst agn activities in the late stage ir bright merger vv numerical simulations have demonstrated the importance of galaxy collisions and mergers in triggering massive bursts of star formation in the host galaxies recent high resolution simulations that include an improved treatment of the multi phase ism have shown that star formation not only increases as the galaxies first collide but it also persists at a higher rate throughout the merger process peaking at the final coalescence an observational test of gas response requires mapping both the diffuse and dense gas tracers in merging u lirgs at high spatial resolution here we propose cycle observations to obtain pc resolution maps of a gas rich late stage merger vv in hcn hco co co co and co lines the relative proximity deg declination and the rich array of multi wavelength hst spitzer chandra vla complementary data make vv a particularly good target for the cycle investigation by analyzing the new data with times higher angular resolution and times improved sensitivity over the existing data we aim to map the distribution and kinematics of dense molecular gas and the dense gas mass fraction and interpret the dense gas properties and their relation to star formation and agn activities in the context of the merger induced response of the ism in the progenitor disks these new observations will allow us to characterize the gas properties of this galaxy pair that is known to harbor an agn and have extended starbursts across the galaxy pair likely evolving to a ulirg in the future,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0, 0]","[0.006979405414313078, 0.7802439332008362, 0.04262854531407356, 0.014392047189176083, 0.08071288466453552, 0.028232987970113754, 0.029041364789009094, 0.010603036731481552, 0.007165775168687105]"
14,2011.0.00471.S, doradus dense gas in the nearest super star cluster v doradus is the nearest super star cluster and an ideal laboratory in which to study the effects of vigorous star formation on molecular gas in galaxies we propose to image the northern molecular cloud in doradus showcasing the unprecedented power of even in early science to understand detailed physical conditions in extragalactic multiphase interstellar media we will image the entire cloud in the most commonly used extragalactic dense gas tracers including hcn hco and cs and isotopologues measure the density mass and gravitational support of dense starless and starforming cores we will image most of the cloud in and co and other tracers of the warm interclump medium of this starburst photodissociation region pdr resolving the pdr structure in combination with our spitzer and herschel data and radio recombination line images obtained simultaneously with the molecular emission we will model the physical conditions and amount of dark molecular hydrogen in a real starburst pdr at reduced metallicity for the first time finally we will image a small region in high excitation lines including co that are particularly sensitive to conditions in the hot dense clumps of pdrs detailed analysis of the molecular environment of the nearest reduced metallicity starburst will inform the interpretation of many observations revealing the true nature of the gas emitting brightly in these lines in more distant galaxies,"[0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0, 0]","[0.0063640279695391655, 0.3485998809337616, 0.03884711116552353, 0.015878265723586082, 0.40406307578086853, 0.13947176933288574, 0.02726651169359684, 0.012282654643058777, 0.007226679939776659]"
15,2011.0.00474.S,where do massive stars get their mass from massive stars are most likely forming at the centre of parsec scale converging accreting filaments mhd simulations predict that the gas along these filaments can show velocity differences of few km s according to the direction of these filaments with respect to the cloud sdc is a unique massive star forming infrared dark cloud irdc it shows pristine dark filamentary structures converging towards two of the most luminous protostars known in the galaxy low resolution molecular line studies of sdc suggest that this cloud is globally collapsing and that the dark filaments might be accreting in a similar way as in the simulations however only high resolution observations of the velocity field can confirm such speculations we therefore propose to observe sdc with es at mm in the compact configuration in order to get the systemic gas velocity along the set of filaments which are observed in this irdc we expect to measure velocity differences of a couple of km s between the different filaments this would strongly support the dynamical picture of massive star formation,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0, 0]","[0.0072213816456496716, 0.5074567198753357, 0.027969883754849434, 0.01314365305006504, 0.3262781500816345, 0.0769963413476944, 0.023479769006371498, 0.010959697887301445, 0.006494454573839903]"
16,2011.0.00525.S,imaging the most luminous galaxy within z we propose high resolution imaging of molecular gas in the most luminous galaxy within z our main targets in the merger ngc d mpc lbol e lsun are the double nuclei with a kpc separation and the km s wide high velocity gas in the central region which we have previously found and attributed to a massive molecular outflow we will assess the dynamical and physical properties of the molecular gas in the merger to uncover the interplay between molecular gas and the high luminosity starburst a key process in the merger induced galaxy evolution our cycle observations of this nearby luminous infrared galaxy lirg will also serve as a pilot study for full observations of more distant lirgs z since the linear resolution and mass sensitivity will be comparable,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0, 0]","[0.00631588464602828, 0.5530589818954468, 0.05316059663891792, 0.016259681433439255, 0.2293066531419754, 0.09020262956619263, 0.03105349838733673, 0.012423482723534107, 0.008218715898692608]"
17,2011.0.00619.S,identification of the keplerian rotating disk around the protobinary system of l ne we propose to make an cycle observation of l ne in the c o co cs and the hc o lines at band with the extended configuration l ne is one of the archetypal class i binary protostellar systems with two radio continuum sources at a projected separation of au source a at the south east and source b at the north west our recent sma observations of l ne in the c o line have found a au scale elongated feature along north west to south east approximately centered on source a the circumbinary feature shows a clear velocity gradient along the major axis and our simple model fitting to the observed c o image cube suggests a possibilty that the circumbinary feature is a keplerian rotating disk centered on source a with the central mass of m inclination angle of deg and the position angle of deg the rotation power law index is however not well constrained with the sma data and it is still possible that the rotation is non keplerian the higher resolution higher sensitivity observation will be able to unambigously assess the presence or absence of the keplerian motion in the circumbinary disk once we confirm the presence of the keplerian rotating circimbinary disk we can directly measure both the mass of the protobinary system and the mass ratio which can put stringent constraints on the theories of binary star formation we believe that the present first observation to identify the keplerian circumbinary disk around one of the prototypical binary protostars is a solid kick off to approach binary formation with,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 1, 0, 0, 0]","[0.005184774287045002, 0.03033951297402382, 0.015377238392829895, 0.008439683355391026, 0.6873363256454468, 0.22334247827529907, 0.01411092933267355, 0.01099860668182373, 0.004870424512773752]"
18,2011.0.00645.S,winds of change probing the nuclear activity and outflow of the fir excess galaxy ngc v offers a unique opportunity to probe the nature of fir excess galaxies where the ir emission is powered by dust embedded starbursts and or agn activity the molecular outflow and dusty core of the extreme fir excess synchrotron deficient galaxy ngc presents an opportunity to study this important phenomenon we propose extended array co observations to image the molecular outflow to determine its age and address the nature of the dust enshrouded nuclear activity an extremely young myr starburst or a super eddington accreting black hole we furthermore propose co and micron continuum observations also in extended to study the buried central source on scales of pc we expect intense k emission from the very nuclear region probing the dynamics of the inner disk the enclosed mass and the gas heating energy budget the continuum will constrain the ir surface luminosity and dust mass this proposed study will allow us to uniquely probe the very earliest phases of nuclear activity the onset of black hole accretion or the pre synchrotron beginnings of a starburst,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0, 0]","[0.005583362188190222, 0.09946522116661072, 0.024907821789383888, 0.01136059407144785, 0.604703426361084, 0.21885450184345245, 0.017487017437815666, 0.011592383496463299, 0.00604569585993886]"
19,2011.0.00648.S,molecular gas dust and gas metallicity in star forming galaxies at z we propose co and dust thermal continuum emission from star forming galaxies at z the sample contains star forming galaxies extracted originally from our stellar mass limit sample from usual spectral energy distribution analysis stellar masses and star formation rates sfrs of these galaxies are obtained subsequent near infrared spectroscopy enabled us to derive gas metallicity from halpha and nii emission lines and extinction corrected halpha luminosity for the targets with this unique sample we will investigate whether the molecular gas mass and the dust mass as well as co to h conversion factor at the redshift show some trend against gas metallicity rather than stellar mass sfr etc since there is a possibility that co luminosity at a given molecular gas depend on the gas metallicity and dust mass is also expected to be dependent on metallicity studies of star forming galaxies covering a certain range of metallicity stellar mass and sfr is inevitable to push further high z co dust observations in general furthermore since gas inflow outflow also affects gas metallicity evolution we will be able to constrain a process of galaxy evolution from the metallicity and the gas mass fraction the results obtained in this proposal are expected to give us a good compass to navigate future high z observations with thus the program would be suitable to be conducted in cycle phase,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0]","[0.005567300599068403, 0.13390043377876282, 0.02826663851737976, 0.011772927828133106, 0.5808712244033813, 0.20130854845046997, 0.02052205801010132, 0.011821581050753593, 0.005969308782368898]"
20,2011.0.00656.S,deuterium fractionation in the irdc clump g mm we propose to observe the hn c dnc n h and n d j lines toward the infrared dark cloud irdc clump g mm to examine our idea of extracting the initial condition of high mass star formation from the deuterium fractionation ratios observed in the star forming clump from our previous single dish observation hpbw the dnc hnc ratio of high mass sources is found to be systematically lower than that of the low mass sources taking the time dependence of the deuterium fractionation into account the low dnc hnc ratio does not reflect the current temperature but it may suggest that the cold starless phase is shorter than that of the low mass cores or that the initial temperature is higher however we need to evaluate the dnc hnc ratio at a higher angular resolution with for a fair comparison with the ratio in low mass cores under the similar physical size scale considering that high mass sources are more distant than low mass sources for this purpose we select g mm which has the lowest dnc hnc ratio in the sample of our previous single dish observation by higher angular resolution observations with we will investigate the deuterium fractionation ratio in the innermost part of the clump which is directly related to the star formation if we confirm the low dnc hnc ratio in the innermost part of the clump we can state that the initial conditions are different between low mass and high mass star formations furthermore we wish to investigate how the star formation activities affect the deuterium fractionations by comparing the distribution of dnc hnc ratio with those of the n d n h ratio and the shocked gas tracers like sio and ch oh,"[0.0, 0.0, 0.0, 0.0, 0.6363636363636364, 0.36363636363636365, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0]","[0.006784800440073013, 0.4300307333469391, 0.04086785018444061, 0.01740860939025879, 0.34340426325798035, 0.11148197948932648, 0.02820477820932865, 0.012768001295626163, 0.009049043990671635]"
21,2011.0.00727.S,mapping the nitrile chemistry and dynamics of titan s thermosphere the cassini space mission has shown that titan s atmosphere is a complex system involving strong interactions between chemistry and dynamics titan s stratosphere and lower mesosphere km is currently explored in details by cassini cirs at the top of the atmosphere the thermosphere km is currently explored by cassini inms but with a scarce sampling in latitude altitude and local time in between titan s mesosphere lower thermosphere region from to km remains largely unexplored by cassini the main goals of this proposal are i to map the hnc and hcn lines in the upper atmosphere km in order to constrain the chemistry temperature and dynamics in this poorly known region ii to take benefits of the large bandwidth of to simultaneously map other nitriles hc n and ch cn and search for an as yet undiscovered nitrile dcn,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 1, 0, 0, 0]","[0.008765791542828083, 0.1020560935139656, 0.04006831720471382, 0.022290410473942757, 0.4750721752643585, 0.284393846988678, 0.03487488627433777, 0.020543638616800308, 0.011934779584407806]"
22,2011.0.00750.S,the largest circumstellar disk birth of a high mass star through accretion in we discovered a au symmetric dark silhouette with a stellar source in its center and a bipolar outflow perpendicular to the triangular absorption pattern in a region of high mass star formation co data from pdbi indicate that the object is rotating optical and infrared spectroscopy of the central object yielded a wealth of emission lines with shapes typical for accreting ysos since then there is the debate whether this is the first case where the formation of a high mass star via disk accretion is directly observed in analogy to the scenario for low mass stars unfortunately there are two missing links to solve this puzzle the kinematics and the mass of the putative disk we propose to solve the puzzle by studying some characteristic lines and the continuum of the disk the observations will unambiguously provide the rotation curve of the disk like silhouette and its mass the data will answer the long standing questions whether the disk mass is gravitationally bound to the central object and whether it is sufficiently large to create a high mass star this largest circumstellar disk is a must for cycle of the largest interferometer,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0]","[0.004792436491698027, 0.044371865689754486, 0.015120151452720165, 0.008554799482226372, 0.7017454504966736, 0.19643902778625488, 0.013290376402437687, 0.010702334344387054, 0.00498358067125082]"
23,2011.0.00779.S,characterizing io s atmospheric composition and circulation v jupiter s moon io is the most volcanically active body in the solar system and has a very thin and spatially variable atmosphere mainly composed of so the goal of this proposal is to adress several aspects of the atmosphere that are not well characterized the nature and abundance of the minor species the replenishment sources for so and so and the atmospheric circulation wind to bring unprecedented constraints on these questions we propose to observe a rich portion of band with the extended configuration and a fine spectral resolution the excellent available sensitivity will allow to search for expected yet undetected volcanic species such as kcl s o sio and co for which the abundance measurement will put strong constraints on the volcanic regimes simultaneously the strong lines of main species so and so will be mapped with an improved spatial resolution with the objective to relate their spatial distribution to their possible respective replenishment mechanisms finally we will measure doppler shifts on the strongest line to retrieve the best observation of the atmospheric wind field io s atmosphere circulation has only been observed once so far and the proposed observations are expected to provide a radical improvement on the wind measurement,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 1, 0, 0, 0]","[0.00863382127135992, 0.10131353884935379, 0.03518422320485115, 0.020390188321471214, 0.4919910132884979, 0.2825630009174347, 0.029118113219738007, 0.02037702314555645, 0.010429022833704948]"
