,project_code,standardized_text,Target_Vector,Predicted_Vector
145,2013.1.01202.S,heating effects within the hh outflow how energy is transported across outflow cavity walls onto the cold surrounding cloud material is virtually unknown although existing observations readily show the cavities and the cavity walls they lack the spatial resolution to study the precise location and structure of the surface pdr through observations of the warm molecular and or atomic gas clear variations in the gas distributions along the flows have been revealed a large number of possible scenarios have been proposed for the heating effects most likely multiple scenarios actually coexist within one flow depending on local conditions and internal uv radiation the best studied outflow to date is hh we propose to use to observe positions along its red lobe by targetting the co and ci transtions at spatial resolution the emission profiles of both the molecular and atomic gas located within or behind the surface pdr and within the cavity will be spatially and spectrally resolved this allows us to directly image the structure of the cavity wall unambigiously determine the gas distribution of the pdr layer s and thus derive how energy is transported across the cavity wall,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.0]","[0.006223704200237989, 0.46022945642471313, 0.04284791275858879, 0.020397687330842018, 0.30517202615737915, 0.10806253552436829, 0.03179660066962242, 0.016924414783716202, 0.008345707319676876]"
146,2013.1.01222.S,a survey of extragalactic megamasers at ghz we propose to observe the water maser transition at ghz in galaxies in which large abundances of water have been detected since the discovery of water maser emission three decades ago the only concerted extragalactic surveys have been carried out at ghz extending the study to other water maser transitions is crucial to understanding the excitation conditions of the water molecule and to provide constraints on the models of pumping mechanisms only through constructing a comprehensive model of these physical conditions can we hope to obtain an accurate picture of the central parsecs of active galactic nuclei and the regions of most intense star formation in starburst galaxies,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.006382622290402651, 0.40696460008621216, 0.04949542507529259, 0.02027958631515503, 0.3424232006072998, 0.11781199276447296, 0.03293943777680397, 0.01503952406346798, 0.008663642220199108]"
147,2013.1.01241.S,detecting cii in two strongly lensed z star forming galaxies we propose to conduct deep observation of two z sub l star forming galaxies to detect their cii emission line and derive from the line flux their star formation activity these two lyman break galaxies are unique multiple image systems found in the massive cluster lenses abell and ms at redshift and respectively their lensing magnification is and respectively thus allowing to probe the properties of normal low luminosity galaxies at early times in the universe the proposed observation will lead to a secure cii detection however would we not detect cii the upper limit we can derived will have strong consequences on our understanding of star formation in the early universe advocating for unexpected strong evolution in the galaxy formation models,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.0058715976774692535, 0.5323873162269592, 0.04493192210793495, 0.020101478323340416, 0.26012831926345825, 0.08237867057323456, 0.03164608031511307, 0.01380611676722765, 0.00874842144548893]"
148,2013.1.01268.S, d mapping of the co snow surface in a planet forming disk snow lines affect the planet forming capacity of disks and influence the c o ratio of extrasolar planets and solar system bodies has successfully imaged the co snow line in the midplanes of the disks of tw hya and hd via emission of n h and dco the dco line is ideally suited to map out the d structure of the snow surface away from the midplane that is set up up by the combined radial and vertical temperature gradients dco is only present in a distinct layer that envelopes the co freeze out zone with temperatures between k where deuteration becomes significant and k where its parent species co freezes out this proposal aims to use dco to map the co snow surface throughout the hd disk in this inclined disk i deg emission from different heights is separated in velocity channel maps as shown by science verification data of co in the same disk with the proposed dco observations we can measure the vertical location of the dco layer and from there the co snow surface across the hd disk comparison with co h co dcn and n d obtained simultaneously places constraints on vertical and radial mixing across the snow line,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.007382099516689777, 0.09312187135219574, 0.03772532194852829, 0.0177591722458601, 0.48460546135902405, 0.305105984210968, 0.02896578051149845, 0.018456250429153442, 0.006878003012388945]"
149,2013.1.01307.S,beyond megamaser disks understanding agn central engines extragalactic water masers in agn central engines so called megamasers probe either the agn accretion disk at radii pc from the supermassive black hole or the agn jet ism interaction or in some targets both they tend to be found in compton thick seyfert objects and because they can be mapped with milli arcsecond resolution using radio vlbi at ghz they have proven to be very useful tools for determining the structures in the central parsecs of their host galaxies in this proposal we request to observe two megamaser galaxies with the goal of exploring the agn unified model in addition we aim to determine if we can utilise a new mass determination method for measuring the super massive black hole masses in these galaxies,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.006065769586712122, 0.09654916822910309, 0.02928011491894722, 0.012986301444470882, 0.5892072319984436, 0.22349829971790314, 0.02501457929611206, 0.01099090464413166, 0.006407517474144697]"
150,2013.1.01312.S,wide field imaging of dense gas in the nearby barred galaxxy m we propose to make a sensitive mosaic observations of the nearby barred galaxy m in hcn j the cycle observations of m in co enabled us to identify giant molecular clouds gmcs over wide range of galactic environments comparison with the hii regions indicated that progress of star formation strongly depends on the ratio between two time scales namely free fall time and crossing time in addition by adopting a star formation law sf law which relates sfr gas mass and the two time scales excellent agreement between the observation and the model were obtained for the radial distribution based analyses motivated by this finding we aim to investigate the formation process of dense gas in terms of it s environmental dependence with the deep hcn observation since gas clouds denser than e cm is known to be the basic unit of star formation to verify the environmental dependence of sf law it is more essential to clarify the formation process of such dense gas by comparing the deep hcn data with the co data and with the already available working hypothesis time scale dependence of sf we will address the formation process of dense gas,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.006616195198148489, 0.6891012787818909, 0.04148586839437485, 0.019366933032870293, 0.14975565671920776, 0.038003984838724136, 0.02649230696260929, 0.02013559453189373, 0.009042227640748024]"
151,2013.1.01359.S,probing the star burst phase of quasar host galaxies understanding the physical mechanisms and connection between supermassive black hole growth and galaxy formation and evolution remains elusive in particular observational properties of host galaxies of distant luminous quasars has remained challenging due to the high contrast needed to separate the bright quasar from the faint resolved galaxy we are proposing to observe two carefully selected quasars at a unique stage in their evolution where the host galaxy is undergoing a burst of star formation in the submm regime we gain the necessary level of contrast to see the light from the host since the energy output from the host galaxy is far greater than due to agn due to high angular resolution of we will be able to spatially resolve the host galaxy and study several key properties including molecular gas distributions and masses dynamical properties from resolved kinematics maps and host galaxy morphologies our observations will be supplemented with adaptive optics assisted near ir integral field spectroscopy observations combining the two will give us a better understanding of the relationship between star formation and agn activity at these early epochs,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.00595439737662673, 0.29977765679359436, 0.04088597372174263, 0.01744147017598152, 0.439726859331131, 0.14598123729228973, 0.029999181628227234, 0.012358964420855045, 0.007874291390180588]"
152,2015.1.00016.S,a search for extragalactic argonium arh a probe of the very atomic diffuse interstellar medium the j transitions of arh and arh near and ghz were detected in absorption toward the galactic center source sgr b with the herschel space observatory the former was also seen toward several prominent galactic continuum sources model calculations suggest that the cation samples in these observations exclusively the very atomic diffuse ism with a molecular fraction of about or less we propose to search for arh toward pks and b at z and respectively in order to gain more insight into the role of this cation as a probe of the very atomic diffuse ism and to determine ar ar ratios in the earlier universe,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.006847381126135588, 0.28767767548561096, 0.048239853233098984, 0.01907617598772049, 0.4007512927055359, 0.1783679723739624, 0.03618282079696655, 0.01503477431833744, 0.007822017185389996]"
153,2015.1.00019.S,resolving the star forming ism at z in this resubmission of our highly ranked and approved but unobserved cycle project we propose resolved matched resolution mapping of the co cii and underlying dust continuum in a carefully selected sample of z galaxies from our cycle um aless survey of submillimeter galaxies our recently completed intensive spectroscopic follow up campaign has enabled us to meticulously identify smgs with redshifts that allow us to observe both low j co and cii with in addition to providing tight constraints on gas masses sf efficiencies kinematics and pdr models these observations will reveal the fundamental relationship between molecular gas and star formation kennicutt schmidt law on kpc scales critically they will also allow us to test how well cii correlates with the cold molecular gas reservoir probed with co this is imperative as cii will be the main line for studying the star forming ism at even higher z these detailed case studies which were prohibitively expensive before are an essential complement to larger statistical studies of individual tracers and integrated properties,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.00629302067682147, 0.6264910101890564, 0.043167535215616226, 0.01953725330531597, 0.1875038743019104, 0.059476207941770554, 0.03221903368830681, 0.01650039665400982, 0.00881171878427267]"
154,2015.1.00028.S,the role of infrared radiative pumping for molecular gas emission in agns we propose to obtain hcn hnc hco j and j line data of the ultraluminous infrared galaxy ulirg iras which contains a luminous obscured active galactic nucleus agn and shows detectable vibrationally excited v f j and or j emission lines of hcn and hnc in our cycle and data thanks to small molecular line widths the estimated high excitation temperatures between vibrationally excited v and vibrational ground v levels at j and for hcn and hnc meet the conditions that an infrared radiative pumping mechanism could play an important role by extending to widely separated j transitions we will be able to quantitatively better understand how infrared radiative pumping affects to molecular line flux ratios when compared to collisional excitation alone in this unique ulirg s high spatial resolution is crucial to probe only agn affected molecular gas emission at galaxy nuclei our observations will provide invaluable information to interpret molecular line flux ratios in dust gas rich agn starburst composite ulirgs from local to distant universe whose observations will routinely be made in the near future,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0]","[0.006293877959251404, 0.5452674627304077, 0.04362212121486664, 0.01927914470434189, 0.24661482870578766, 0.08063093572854996, 0.03470749780535698, 0.015436448156833649, 0.008147758431732655]"
155,2015.1.00030.S,resolving the molecular gas within pc of m s supermassive black hole the proximity of m c the archetypical giant elliptical radio galaxy at the centre of the virgo galaxy cluster presents a unique opportunity to investigate in detail the circumnuclear molecular gas revealed first by co j observations with the iram m and more recently imaged for the first time with this team s cycle data the preliminary results from the data show that the molecular gas is unresolved and resides within pc of the supermassive black hole smbh with this cycle proposal we wish to obtain pc imaging of the co j line to unambiguously resolve the molecular gas structures for the first time allowing us to investigate the nature and origin of molecular gas that resides within the sphere of influence soi of the smbh in unprecedented detail such observations are only now possible with s long baseline capability,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.006401526741683483, 0.4813585877418518, 0.044542405754327774, 0.02005261369049549, 0.3027026355266571, 0.08849257230758667, 0.03213941305875778, 0.016095276921987534, 0.008214942179620266]"
156,2015.1.00040.S,using ci to determine the distribution and heating mechanism of h in a z star forming disk in cycle we identified a large rotating cii disk in a strongly star forming galaxy at z aless its cii line emission extends well beyond the host galaxy tracing unknown distributions of ionized hii atomic hi and molecular h gas de breuck et al here we propose resolution matched ci imaging whose low critical densities and umbiquity in h gas clouds without significant contamination from hii or hi gas and not subject to cosmic ray destruction promise a powerful new luminous tracer of h gas in galaxies our goals include a determine the full extent gas mass and enclosed dynamical mass of h disks b uncover potentially serious biases of the bright cii line in tracing h gas in galaxies and c determine whether fuv photons from the starburst can maintain the average thermal state of the dense h gas the latter strongly impacts on the initial conditions of star formation and whether they can be reset in such disks thanks to its fortuitous redshift allowing both ci and cii lines to be observed and its unlensed isolated nature aless is an excellent testbed for spatially resolved ism studies,"[0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.006619121413677931, 0.3337318003177643, 0.04165074974298477, 0.01806645281612873, 0.38594233989715576, 0.15461182594299316, 0.0377909354865551, 0.013330381363630295, 0.008256467990577221]"
157,2015.1.00041.S,orion disk and multiplicity survey the formation of disks and multiple systems is thought to begin during the early phases of the star formation process however sufficient numbers of young protostars class and i phases have not been observed at high enough resolution to determine when and where most multiples form and whether or not large disks are common to make significant progress in these areas of star formation study we propose an unbiased band survey of the known protostars in the orion a and b molecular clouds at au resolution orion is the only massive star forming region within pc and the resolution and sensitivity of will enable us to characterize the separation distribution of multiple systems and size distribution of protostellar disks co and co j lines will be observed simultaneously to determine the compact outflow directions and observe disk kinematics this study will be the largest and most complete high resolution submillimeter survey of protostars ever undertaken and will significantly improve our understanding of the formation mechanisms and prevalence of close multiples and disks during the early stages of star formation,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.006159280426800251, 0.05598541349172592, 0.024046065285801888, 0.011337393894791603, 0.6048265695571899, 0.2596949636936188, 0.02093939669430256, 0.010803716257214546, 0.006207168567925692]"
158,2015.1.00048.S,a study of stellar mergers through measurements of their disks and outflows what kind of systems do stellar mergers produce as seen years to decades after the coalescence we propose to answer this question by observing emission of circumstellar dust and gas around v sco v sgr two objects that underwent a stellar merger event before our eyes in and in real time we propose observations of the continuum and in molecular lines with the main aims to constrain masses and physical sizes of dusty disks which were formed in those objects just after the merger and to trace the molecular material which was dispersed during the eruption or which is stored in the coolest parts of the disks account the angular momentum stored in the disk and the stellar remnant these observations are crucial for understanding the physics of stellar collisions and their aftermath by this they are important for understanding evolution of close binaries especially those undergoing the common envelope phase,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.00639964547008276, 0.06696798652410507, 0.024192530661821365, 0.010799674317240715, 0.5759000182151794, 0.27557840943336487, 0.022538185119628906, 0.010726523585617542, 0.006896969862282276]"
159,2015.1.00059.S,the mass loss history of the fresh carbon star tx piscium a showcase for stellar evolution we propose observations of the circumstellar envelope cse of the asymptotic giant branch agb star tx psc which probably has transitioned from oxygen rich to carbon rich very recently judged by its low c o ratio and location in the hertzsprung russell diagram so far no proper radiative transfer modeling for the cse of tx psc could be carried out because of its complexity herschel pacs images of thermal dust show a spherical shell structure at around the star while previous co single dish observations of tx psc only confirm co emission at offset positions about from the star but do not reveal the detailed molecular gas morphology and kinematics the dusty shell might be associated with a molecular counterpart which suggests the formation through a very recent thermal pulse we want to determine the mass loss history of tx psc clarify nature and origin of the shell like structure around it and derive stellar wind parameters for subsequent modeling of mass loss and stellar parameters observations of the molecular cse will allow us to constrain the evolutionary status of tx psc and contribute to our understanding of the transition from o rich to carbon agb stars,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.0057853879407048225, 0.12744031846523285, 0.03068535588681698, 0.01413427572697401, 0.5656235814094543, 0.21172770857810974, 0.026506904512643814, 0.011260902509093285, 0.006835488136857748]"
160,2015.1.00086.S,understanding nuclear streaming stellar atomic and molecular gas kinematics in the inner pc continuation in this continuation project we propose co kinematic observtions of six nearby galaxies chosen to show streaming inflows outflows and or bright ir molecular disks in our arcsec resolution optical and ir integral field observations the arcsec images of the proposed galaxies plus the four galaxies already observed by us and a handful of others in the archive will allow us to a map the co distribution morphology and kinematics on kpc to pc scales for comparison with stellar features e g bars and disks and kinematics b search for signatures of molecular gas inflows and outflows and compare the corresponding molecular and ionized gas mass rates using models of circular rotation and stellar kinematics as references c compare mass inflow outflow rates with nuclear star formation rates and black hole accretion rates and thus constrain the inflow timescales,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.005848035216331482, 0.25998905301094055, 0.03549893572926521, 0.01637314446270466, 0.46731775999069214, 0.16305434703826904, 0.0315663106739521, 0.012744121253490448, 0.007608336396515369]"
161,2015.1.00089.S,anatomy of a midlife crisis can sigma orionis disks still make jupiters the prevalence of extrasolar neptunes with masses that are large enough to undergo runaway growth in the presence of gas suggests that the timescale for planetary core formation and disk gas dissipation must be quite similar we propose to examine this directly by measuring the gas and dust content of circumstellar disks in the middle aged myr old sigma orionis cluster our sample consists of all spectroscopically identified members of the cluster with spitzer mid infrared excesses our previous jcmt sma observations show that disks have low but detectable dust masses and are associated with gas we will achieve a dust mass sensitivity of two earth masses sufficient to detect the mean level of continuum emission we will also be able to measure the gas content of the disks to jupiter mass sensitivity through observations of the co and c o lines this sensitive uniform study of a large similarly aged sample will be a benchmark for disk evolution studies and inform planetary synthesis models if insufficient gas remains in these middle aged disks to form jupiters we will be able to place firm limits on the formation history of our solar system,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.007040548603981733, 0.03301667049527168, 0.02201329730451107, 0.010926693677902222, 0.528933584690094, 0.35828524827957153, 0.02181723155081272, 0.011539964936673641, 0.0064267972484230995]"
162,2015.1.00106.S,formation of o stars by accretion of ionized gas massive protostars must accrete to msun to become o stars but they begin core hydrogen burning well before reaching their final masses at a stage equivalent of an o star the surface temperature is high enough to create a significant hii region around the star this poses an interesting theoretical question how does accretion proceed through the pressure differential between the cold molecular and hot ionized gas this proposal aims at imaging both molecular and ionized gas at high angular resolution and high sensitivity to resolve the molecular and ionized accretion as well as the ionized outflow in a protocluster forming hii region g the new data will test the theoretical model that we developed on ionized accretion this study will pave the way for observations of smaller hypercompact hii hchii regions excited by individual or a small group of o stars in the near future thanks to the availability of the long baselines,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.0055030095390975475, 0.15688659250736237, 0.031141536310315132, 0.015192482620477676, 0.5605829358100891, 0.1867411732673645, 0.026406103745102882, 0.011076722294092178, 0.006469376850873232]"
163,2015.1.00141.S,kinematics of the incipient bipolar nebula of l puppis the final stages of stellar evolution involve fascinating physics complex chemistry and spectacular structures disks planetary nebulae the red giant l pup is likely experiencing the early stages of the formation of a planetary nebula its remarkable proximity pc makes it the second nearest agb star vlt adaptive optics images revealed a dust disk seen almost edge on a close in companion and a compact bipolar structure but these encouraging results remain qualitative we do not know the exact evolutionary state of the central agb star neither its mass and our interpretation in terms of bipolar structure is currently based on its visible morphology only we will use to determine the stellar mass and the geometry of mass loss our first science goal is to measure the rotation profile of the disk from the co line to derive the mass of the central stars this will enable us to pinpoint the evolutionary state of the agb our second goal aims at testing the bipolarity hypothesis by mapping the velocity structure of the extended wind in the co line l pup offers a unique vantage point on the disk wind interaction,"[0.0, 0.0, 0.0, 0.0, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0]","[0.006055648438632488, 0.05005374550819397, 0.0242964718490839, 0.011142615228891373, 0.5850673317909241, 0.28463929891586304, 0.021378768607974052, 0.011153112165629864, 0.006212996784597635]"
164,2015.1.00147.S,probing the inward motion in the class protostar ngc iras a although gravitational collapse has been widely accepted from the theoretical viewpoints of star formation the observational study of infall motions is usually a challenge a major issue is that such kinematic features at relatively low velocity are easily contaminated by other star formation activities we request observations towards ngc iras a to explore gas kinematics down to a scale of au together with the previous investigations over relatively large scale infall motions in iras a we aim at establishing a comprehensive picture of the infalling motions from large to small scale in this region thanks to the flexible spectral capability we can simultaneously capture five h co transitions with various energy levels which trace different layers of infall motions we expect to extract with radiative transfer models the physical parameters of the infalling gas from the observed spectra determine whether the spatial distribution of infall speed is consistent with free fall and explore the role of forces other than gravity such as magnetic field in the collapse dynamics,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.006178640760481358, 0.2954321801662445, 0.038297612220048904, 0.017305534332990646, 0.4438660144805908, 0.14805173873901367, 0.030472487211227417, 0.012890520505607128, 0.007505237124860287]"
165,2015.1.00150.S,the first detection of the glycine precursor hydroxylamine nh oh in the interstellar medium the aim of this project is the first detection of hydroxylamine nh oh in the interstellar medium nh oh is an important precursor in space for the formation of amino acids the building blocks of life abundances within reach of are predicted from recent laboratory experiments in our group that have focused on the solid state chemistry of nitrogen oxides in interstellar ice analogs our results show that for low temperatures no and no ices are readily converted into nh oh upon sequential hydrogenation yielding a stable end product in warmer environments nh oh can thermally desorb yielding detectable gas phase abundances while in shocked regions the solid nh oh can be liberated en masse into the gas phase only has the sensitivity necessary to identify this important species,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.00797597412019968, 0.3884572386741638, 0.0541091114282608, 0.023713907226920128, 0.3334585428237915, 0.12548552453517914, 0.03458152338862419, 0.022635096684098244, 0.009583082981407642]"
166,2015.1.00175.S,chemistry in the brightest face on starburst galaxy m is the best target to study spatially resolved chemistry in the nuclear region of a starburst galaxy this is because of its proximity face on configuration and brightness it has been proposed from near infrared optical uv observations that the gas flowing through the bar into the circumnuclear ring can induce active star formation this creates an age gradient of stars along the circumnuclear ring we propose to observe molecular tracers to examine whether chemical composition along the circum nuclear ring can be used to probe such a time difference in star formation in several frequency settings in band and we will map molecular tracers of shocks photon dominated regions dense cores at the gmc scale our chemical diagnostics can reveal the star formation sequence even in regions of high obscuration where light at other wavelengths cannot convey the information this dataset will also serve as a chemical template in the circumnuclear ring of a starburst galaxy with much better spatial information sensitivity and chemical complexity than previous studies,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.006052810698747635, 0.6320939064025879, 0.04184482991695404, 0.019443271681666374, 0.19173862040042877, 0.0556509904563427, 0.028101474046707153, 0.016524244099855423, 0.008549856022000313]"
167,2015.1.00186.S,protostellar multiplicity in isolation multiple star systems are a common outcome of star formation while the binary frequencies and separation distributions are well characterized in the field theoretical studies predict that the majority of multiple systems are formed very early in the protostellar phase and undergo significant and rapid dynamical evolution thus knowledge of the intrinsic multiplicity fraction and separation distribution before modification via dynamical evolution requires studying the youngest objects class and i protostars still embedded in and accreting from their parent cores recent surveys have made great progress in characterizing protostellar multiplicity in clustered environments but have left unanswered a key question is the fragmentation into multiple systems dependent on environment here we propose an band multiplicity survey of truly isolated protostellar cores down to approximately au resolution in order to measure the protostellar multiplicity fraction and separation distribution in isolated globules and determine the effects of environment on fragmentation,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.006167702842503786, 0.10480159521102905, 0.03142501786351204, 0.014007281512022018, 0.6067888140678406, 0.19614560902118683, 0.021872304379940033, 0.012428461574018002, 0.006363232620060444]"
168,2015.1.00187.S,gas in the most massive galaxies we propose to observe the molecular discs that lie in the heart of five of the most massive m msun early type galaxies in the local universe with work by our team has shown that a non negligible fraction of the most massive galaxies host molecular gas discs and star formation but the origin of this material its fate and its effect on the host galaxy is poorly constrained with observations we propose to shed light on this issue while simultaneously using the relaxed kinematics of these discs to answer profound open questions in extragalactic astrophysics for instance the imf of the most massive galaxies appears to vary becoming more bottom heavy as the velocity dispersion of galaxies increases we here propose a new independent way to study this effect deriving dynamical mass to light ratio profiles in massive ellipticals and thus constraining their imf the gravitational sphere of influence of the supermassive black holes in these objects are also resolvable allowing us to constrain the demographics of massive black holes,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.00609757611528039, 0.10246991366147995, 0.03015277348458767, 0.014237971045076847, 0.5676001310348511, 0.2354365587234497, 0.025929542258381844, 0.009838951751589775, 0.008236557245254517]"
169,2015.1.00190.S,getting to the bottom of the toby jug mapping the bipolar reflection nebula ic ic is an extended x bipolar reflection nebula surrounding the m type giant hr the evolutionary state of this star is unclear it may be an rgb agb or post agb object it exhibits a high li abundance which may be due to an earlier period of increased mass loss ic was previously mapped by us via single dish co observations the co emission outlines a hollow expanding cylinder about x in size co emission is also observed from an extended feature that may be the remnant of a disk that shaped the cylinder modeling indicates a total nebular mass of msun a radial velocity field a low co excitation temperature k and a dynamical age of yr it has also been suggested however that some of the apparent complexity may simply be attributed to selective illumination we propose to map the central region of ic in co co and continuum with to establish the detailed structure of the nebula this will enable us to understand its general nature mass loss history the mechanisms that shaped the outflow and its evolutionary status we also aim to detect molecular species that could serve as alternative dynamical tracers,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.005829114466905594, 0.09018629789352417, 0.028626957908272743, 0.01363731361925602, 0.5555810332298279, 0.26245880126953125, 0.02676469087600708, 0.010099425911903381, 0.006816345266997814]"
170,2015.1.00192.S,hunting for gaps in heabe disks gaps in disks are a signpost of disk dispersion and planet formation but finding disk gaps is challenging spectral energy distribution sed studies of the dust disks do not provide unequivocal evidence for gaps especially in disks around higher mass herbig ae be stars recently it has been suggested the herbig stars classified as flaring are in fact disks with developing or fully cleared gaps we propose to test this hypothesis by imaging three flaring haebe disks for which strong indirect evidence of such gaps exists but for which no gaps have been resolved using direct imaging using the co co and c o j isotopes we also measure the gass mass inside the gaps to constrain the gap opening mechanism and in the outer disk to measure the amount of flaring of the gas disk this is a modified resubmission of proposal s this proposal uses another band band in stead of with slightly coarser spatial resolution but a times higher line sensitivity since resolving the gaps in the continuum is the main science driver of this proposal any observations made during cycle of this program do not have to be repeated for cycle ,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.006529273930937052, 0.05195361748337746, 0.026181701570749283, 0.01248051505535841, 0.5451730489730835, 0.31447267532348633, 0.02378932572901249, 0.013418135233223438, 0.006001703906804323]"
171,2015.1.00212.S,dense molecular gas mapping of the node in the cosmic web at z a remarkable large scale structure like a progenitor of the great wall has been found at z in the ssa field there are three dimensional filamentary structures traced by a hundred of ly alpha emitters laes and we mapped the x core region in cycle at mm the deep field in ssa or adf consequently we found a rich cluster of dusty starbursts composed of sources with spec z suggesting the vigorous star formation activity as well as enhanced agn activity fueled by a large amount of molecular reservoir at the core of the large scale structure here we propose a complete scan of co in adf our science goals are i establishment the excess of cosmic h mass density at the core of the large scale structure ii unveiling the individual nature of discovered co emitters iii clarifing the environmental dependence on the gaseous nature of smgs qsos and main sequence galaxies the propsoed observations will allow us to illustrate the on going gas mass assembly in the large scale structure for the first time,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.006090253125876188, 0.5131660103797913, 0.04242275282740593, 0.018966276198625565, 0.2810477912425995, 0.08222569525241852, 0.033737290650606155, 0.014363178983330727, 0.007980722934007645]"
172,2015.1.00228.S,an unprecedented view on the properties of the atomic and molecular ism in a star forming galaxy at z the nature of the interstellar medium ism in typical star forming galaxies during the peak in star formation sf activity of the universe z is still unknown we propose to observe co and ci lines and the dust continuum to determine the dominant physical properties of the ism and dust in a typical star forming galaxy at z the combination of these lines will allow us to unravel the density and temperature of the atomic and molecular ism the incident radiation field the carbon mass and enrichment history multiple proxies of the ism mass co to h conversion factor dust temperature and mass and dynamical information the proposed target is a typical example of the galaxies responsible for the bulk of sf during the sf peak of the universe the proposed observation marks the deepest attempt to observe low and high j co lines and simultaneously ci lines in a main sequence galaxy at these epochs and will allow us to study ism physics so far only attempted for quasar host galaxies and sub mm galaxies,"[0.0, 0.6, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.00656230840831995, 0.391658753156662, 0.045631278306245804, 0.019517624750733376, 0.3440428078174591, 0.13095492124557495, 0.039237841963768005, 0.014001427218317986, 0.008393078111112118]"
173,2015.1.00241.S,star formation in the km s shock of stephan s quintet stephan s quintet galaxy group is one of these must do targets revealing surprises each time being looked at by a new instrument the most striking feature is a giant intergalactic shock created by a km s galaxy collision with very low star formation despite an amount of warm molecular hydrogen comparable to the molecular content of the milky way our herschel cii and iram m co measurements show that the gas kinematics are complex fwhm km s on large scales kpc pdbi co observations reveal molecular complexes of kpc in size but with star formation efficiencies varying by a factor of why we propose to map the co and sio emission at spatial resolution of pc comparable to the size of giant molecular clouds gmcs to measure the gas turbulence on scales where gravitationally bound clouds may form and identify whether the star forming regions in the shock are the sites of dissipation of kinetic energy through molecular shocks these observations will characterize the role of the energy cascade from bulk motions to turbulent motions on gmc scales on the regulation of star formation in extremely turbulent environments,"[0.0, 0.3333333333333333, 0.0, 0.0, 0.6666666666666666, 0.0, 0.0, 0.0, 0.0]","[0.006006372161209583, 0.5624848008155823, 0.03983362764120102, 0.017908234149217606, 0.24758659303188324, 0.07462700456380844, 0.02962351217865944, 0.013687402941286564, 0.008242400363087654]"
