project_code,standardized_text,Target_Vector
2011.0.00115.S,demonstrating early capabilities with the extremely luminous giant starburst himiko discovered at the redshift frontier we propose band observations for a giant starburst which we have dubbed himiko with a keck spectroscopic redshift of z discovered by our large area survey with subaru in the ukidss uds field this remarkable object free from strong agn activity is unique in many respects including its high star formation rate mo yr large stellar mass x mo and luminous gigantic lya nebula which extends over kpc no equivalent source at this high redshift has been found to date as a well studied object at optical and near infrared wavelengths it is an excellent target for early science our hst observations reveal a complex morphology indicative of a major merger whose large ionized nebula is produced either by an energetic superwind or cold gas accretion along the adjacent filamentary large scale structure given its intense luminosity we are likely witnessing himiko during a key period of its mass assembly history our data will reveal the mm dust continuum and the kinematics of the cii um line thereby addressing the origin of himiko s remarkable luminosity and the physical origin of the gigantic ionized nebula in conjunction with the large set of ancillary data following our original discovery of this system our proposed observations will provide a dramatic illustration of the capabilities of the early array by providing the first view of how the most massive galaxies formed close to redshift frontier z ,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
2011.0.00120.S,the earliest stages of star and planet formation pre stellar cores psc represent the initial conditions for the process of star and planet formation although their overall structure is well known the central few thousand au are completely unexplored because high density tracers are heavily frozen onto dust grains the best tracers of regions with densities cm and temperatures k are light molecular ions in particular the ground state transition of ortho h d at ghz observable with early science in band cycle offers the first and unique opportunity to peer into the psc nucleus and study the birthplace of stars and protoplanetary disks at size scales of a few hundred au,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
2011.0.00124.S,spatially extended cii in a z smg we propose spatially resolved cii and continuum observations of the z submillimetre galaxy less j this source is one of the highest redshift smgs currently known and its far ir sed is not dominated by agn emission the cii emission is enhanced relative to co which is likely due to the lower metallicity this may also imply that co is missing a substantial fraction of the molecular gas which could still be traced by cii the spatial resolution offered by the extended configuration will resolve both the cii and fir emission providing a first glimpse in just hour of total observing time of this ratio which is sensitive to the physical origin of the emission this resolution is also ideally matched to our rich multi wavelength data and especially the hst wfc near ir imaging as part of candels of the host galaxy stellar emission the combined analysis will provide a direct determination of the spatial extent of the star forming regions within this forming galaxy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
2011.0.00133.S,can old protoplanetary disks be as tiny as au v et cha is one of only three well known nearby gas rich ttauri protoplanetary disks with an age beyond myr the other two being tw hya and pds hence crucial for our understanding of late stages of disk evolution this object is of particular interest as it has a clear near mid ir excess with optical and near ir line detections but previous attempts to detect this disk in the sub mm failed et cha may be representative of a new class of small disks that have remained undetected so far with current instruments our previous analysis woitke et al using a large collection of multi wavelength data suggets that this disk could be as small as au an order of magnitude smaller than other protoplanetary disks around young stars using s superiour sensitivity we propose to observe this object in mic continuum as well as co and co emission lines to enable a thorough analysis with novel high quality disk models to determine the total gas and dust mass of the protoplanetary disk of et cha as well as it s outer radius and temperature,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
2011.0.00150.S,testing planet and star formation in binary systems the majority of stars are formed in binary systems this means that a binary system is the typical environment both for star formation and for planet formation the presence of a binary companion means that disks should be truncated possibly influencing the prospects for planet formation it is less well known whether or not the presence of a binary companion also influences the structure of the circumstellar disk or whether truncation only removes the outer disk leaving the remaining disk with properties e g surface density grain size similar to disks around single stars while the structure and kinematics of disks around many single stars have been studied in detail the effects of multiplicity on disk size and evolution are not nearly as well known here we propose to use the unprecedented sensitivity of to observe known binary young star systems in taurus for which the pair can be resolved allowing us to characterize the disk properties and compare to those around single stars these observations will test models of binary star formation study whether disks evolve differently around the two stars in a binary system and also examine the prospects for planet formation around individual stars in binary systems,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.6086956521739131, 0.391304347826087, 0.0, 0.0, 0.0]"
2011.0.00170.S,interstellar glycine many coms found in interstellar clouds are prebiotically important and have essential functions in terrestrial biochemistry many coms including amino acids have also been found in primitive meteorites and glycine the simplest amino acid was detected in comet wild although the formation of prebiotic molecules in extraterrestrial environment and their contribution to the origin of life remains unsettled the connection between interstellar organic chemistry meteoritic amino acids and the emergence of life on early earth would be strengthened with discoveries of prebiotic molecules and glycine kuan et al reported the detection of glycine in orion kl however the detection was disputed by snyder et al mainly because of a missing line at mhz in orion kl lately this missing line was successfully detected in orion kl thus becomes the pivotal result which reinstate the validity of the original glycine detection to overcome the chance interloper problem and to diminish the blanketing effect caused by line forest often seen in sd data we must use for unequivocal confirmation of interstellar glycine will not only offer us a unique opportunity to distinguish targeted lines from interlopers spatially but also provide the detailed fine kinematic information at each location within the fov by imaging precisely the locations of glycine emission showing consistent kinematical signature misidentification of chance interlopers will less likely happen given the significance of interstellar glycine for astrobiology and the great potential interest of the general public we thus propose to observe glycine lines in band plus the ghz line in band toward orion kl to confirm the glycine detection with the incredible spectral sensitivity and wideband capability of we will be able to settle this fundamental issue which has lasted for over years in hours,"[0.0, 0.0, 0.2, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0]"
2011.0.00172.S,the life cycle of the molecular gas in the nearest nuclear starburst gmcs molecular superwind and feedback v we propose to observe ngc the nearest nuclear starburst with early with a modest investment of es band we will measure two key parameters fundamentally related to the evolution of starbursts the mass and energetics of the molecular gas entrained in the galactic superwind thought to be the main way to quench massive starbursts and the properties of giant molecular clouds thought to drive the high star formation efficiencies in a starburst these goals require a point co mosaic using the compact configuration covering the launching point of the wind and the h alpha streamers and a point mosaic targeting high density tracers one spectral setting centered on the nuclear starburst and including the nearby region of the bar the proposed setups will result in a fold increase in sensitivity over existing data on a significantly larger area the resulting images will provide a visually stunning illustration of early capabilities,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2011.0.00191.S,constraining the formation mechanisms of wide orbit planets the case of fomalhaut b v fomalhaut b is one of the first planets to be directly imaged its separation from fomalhaut is measured to be au which presents a challenge to planet formation theories additional observations around other stars have shown that fomalhaut b is not a rare outlier but one of many wide orbit planets these objects may represent an extreme outcome of planet formation at shorter periods or an entirely separate mode of planet formation a circumplanetary debris disk has been suggested to explain the excess optical brightness of fomalhaut b we propose to observe this potential debris disk as well as the known circumstellar ring and use these observations to place strong constraints on planet formation at wide orbits,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
2011.0.00208.S,feeding and feedback in two nearby seyfert galaxies we propose to map the morphology and kinematics of the cold dense gas in two nearby seyfert nuclei at the unprecedented spatial resolution of pc up to now our nuga study of molecular gas in agn circumnuclear regions has shown that embedded kinematically decoupled bars are able to feed the nuclei however we have been hampered by insufficient spatial resolution and sensitivity to trace the gas inside a pc radius in two seyfert galaxies known to have embedded bars ngc and ngc at distances of and mpc will enable us for the first time to examine the ultimate contenders of nuclear gas fueling nuclear bars dynamical friction and or turbulent viscosity we will also be able to probe feedback processes driven by the agn entrained molecular outflows p cygni profiles in co hco we will improve our resolution by a factor going to higher frequency and more nearby objects and sensitivity by a factor with respect to our previous results on nuga finally our complete ancillary multiwavelength data set including high resolution hst images will enable us to examine with unparalleled detail outflows in ionized gas dust emission in the mid and far infrared and dust obscuration around agn in total we ask for hours observing time including calibrations,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
2011.0.00210.S,probing formation of keplerian disks around protostars we propose to use to directly image keplerian disks forming around protostars in the innermost envelopes keplerian disks have been found around pre main sequence stars and intensively studied because they are most probable sites of planet formation according to the classical picture of star formation keplerian disks are naturally formed as a by product of star formation we have been using the submillimeter array sma to study the disk formation around protostars and found that rotation law of infalling envelopes around protostars may change at the innermost envelopes which may suggest a hint of disk formation there however the sensitivity of the sma was not high enough to directly image disks forming around these protostars we will take advantage of unprecedented sensitivity of which is extremely better than sma and other mm interferometer even in cycle phase to directly image keplerian disks forming around protostars observational results will be also carefully compared with theoretical calculations of the disk formation around protostars to understand the details of the disk formation mechanism,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
2011.0.00223.S,the rotating equatorial disk in the red rectangle we propose high resolution extended configuration observation of the red rectangle in co and co j simultaneously observed in band and in co j band the red rectangle is a well known protoplanetary nebula ppn surrounding a binary star that shows spectacular images in the optical and ir it is the only ppn in which an equatorial disk in rotation has been clearly detected by means of co j and j pdbi maps such disks are still poorly observed although their study is basic to understand the post agb evolution and the shaping of planetary nebulae both phenomena are thought to be driven by the ejection of very fast and collimated jets during the first post agb phases which are probably due to reaccretion of circumstellar material via a rotating disk as in young stars high resolution maps of co emission including the high excitation j line a good probe of the temperature in our case will significantly improve our knowledge of the structure and dynamics of the disk in the red rectangle data will be combined with recently obtained herschel hifi spectra of co high frequency lines we will study in detail the distributions of density and temperature in the disk including an accurate investigation of the origin of the evaporation of gas from the disk and a deep search for infalling gas in its inner regions because of the favorable conditions to the observation of this source and the expected spectacular results we think that this project is very well adapted to the early science program,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.5, 0.0]"
2011.0.00229.S,a study of the dust formation zone in irc we propose to observe the j and j lines of hcn in all its vibrational states below k using the longest baselines provided by early science these transitions of hcn will trace the physical conditions of the dust formation zone corresponding to ,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.8, 0.0, 0.0, 0.2, 0.0]"
2011.0.00232.S,molecular gas and obscured star fomation in host galaxies of dark gamma ray bursts we will observe redshifted co lines in two host galaxies of dark gamma ray bursts grb z and grb z at band and simultaneously obtain dust continuum emission grbs are considered to occur because of the deaths of massive stars and therefore they are closely associated with star formation in hosts grbs can be detected at cosmological distances and are considered to be effective indicators for star formation activity in the distant universe only a small fraction of grb hosts have been studied for which high obscured star formation is indicated and whether grbs occur in dust obscured star forming regions the two proposed grb hosts are the best targets for co and dust emission observations because a they are actively star forming galaxies b with large dust extinction a v c and have high metallicity environments if we detect the co line this is the first detection in grb hosts allowing us to examine grb hosts in terms of molecular gas for the first time scientific goals of this proposal are i to measure the amount of molecular gas and examine whether the molecular gas mass is enough to sustain the active star formation taking place in the grb hosts and whether grbs occur in gas rich parts within hosts ii to reveal obscured star formation in the hosts and examine whether grbs occur in dust obscured star forming region and iii to derive star formation efficiency and examine whether grb hosts are similar to those of normal star forming galaxies or starbursts,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
2011.0.00275.S,dissecting disks around b type proto stars v the goal of this proposal is to resolve the spatial and velocity structure of two carefully selected disk candidates around b type proto stars and determine their properties through these observations we aim to test confront the recent theoretical scenarios of massive star formation that require non axisymmetric disks with significant spatial and velocity sub structure in particular we will look for non axisymmetry substructure non keplerian motions and also determine physical parameters such as radii and masses of the disks the chosen disk candidates are associated with luminous sources display mid infrared dark lanes with disk morphology encompassed by wide angle bipolar nebula the feasibility of this experiment is justified by the presence of compact ammonia cores at the center of the mid infrared dark lane and the detection of broad sio line wings and radio continuum emission coinciding with the bipolar nebulae these targets will provide a step further in complexity and will triple the census of accretion disks round b type proto stars besides iras the unique case of keplerian disk studied so far,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
2011.0.00277.S,the mystery of water vapor in irc one of the highlights of the first year of herschel s science program was the discovery of water vapor in the warm inner envelope of the carbon rich asymptotic giant branch agb star irc cw leonis the water abundance derived from herschel observations of carbon rich agb stars are typically to orders of magnitude larger than the photospheric abundance expected under thermochemical equilibrium this huge discrepancy had led to the suggestions of several possible origins for the water vapor the relative strengths of the high excitation water lines in the herschel data indicates the presence of warm water vapor close to the star only two still competing theories are consistent with the existence of warm water vapor the photochemistry model within a clumpy outflow decin et al nature and non equilibrium chemistry associated with pulsationally driven shock waves cherchneff a a however herschel lacks the spatial resolution needed to probe the very innermost regions of the outflow where the two competing models predict different spatial profiles currently only provides the astronomical community with high enough a sensitivity and spatial resolution to discriminate between the two alternative explanations we propose to observe vibrationally excited water in the nu transition at ghz making the first image of water in the envelope of a carbon rich giant will stunningly visualize the capabilities of and will show the impact of on our understanding of the physics and chemistry going on in evolved stars,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
2011.0.00318.S,probing dust and gas within the gap of the protoplanetary disk around hd observations of protoplanetary disks are essential to reveal realistic initial conditions of planet building as well as to obtain valuable insights into young planets through disk planet interactions a gap in a disk is one of the key structures since it is closely intertwined with disk dissipation mechanism including the tidal clearing by planets we here propose band observations for a herbig fe star hd to determine the basic properties of the gap the remarkable morphology of the disk suggestive of a link to a planetary system has been known by our previous observations in infrared and submillimeter in our observations using co and c o lines we will measure the gas kinematics estimate the gas mass and obtain the dust to gas ratio even inside of the gap hd is one of the few sources that allow us to study disk gaps in cycle with the moderate angular resolution even in band we will be able to probe asymmetries in kinematics and spatial distribution of disk material within the gap our observations will bring significant information not only to discuss the possible planetary system but also to understand the evolution of the disk,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
2011.0.00319.S,low luminosity millimeter survey behind a strong lensing cluster we propose to perform continuum observations at mm band in the strong magnification region x of the massive cluster abell we can cover a survey area of arcmin down to an intrinsic lensing corrected sensitivity of mjy sigma we expect to detect continuum sources according to current models this will allow us to complement the studies of brighter continuum sources and derive their relative contribution to the star formation rate and cosmic infrared background at the same time we will measure the co line flux of submm galaxies at z discovered with scuba in this field and we will cover the wavelength of the co line for a sample of other sources at ,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
2011.0.00320.S,dispersal of protoplanetary disks study of suspected gas poor dusty rich sources understanding how protoplanetary disk dissipates is an essential step towards the comprehension of the planetary system formation process young pre main sequence stars surrounded by gas poor but dusty rich disks may hold one of the clues towards this step we propose here to accurately constrain the co column density and temperature distribution in three objects which are suspected to be in such a phase bp tau cq tau and mwc accurate co column density measurements obtained by a combination of multi line co study and sensitive co j observations will prove the low co content of these disks temperature measurements should unambiguously confirm their suspected warm nature and dismiss depletion on dust grain as the cause of low co abundance,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
2011.0.00340.S,searching for h d in the disk of tw hya v most of the mass in a protoplanetary disk is represented by molecular gas concentrated near the midplane but it is exceedingly difficult to find clear signatures of gas in such locations emission lines from deuterated species like h d and d h provide the best and perhaps only diagnostics for probing gas in the disk midplane and thereby learning about the local kinematics and ionization fraction we propose to search for the ortho h d ghz line toward the well studied nearby disk around tw hya with the compact configuration the proposed observation will allow us to detect ortho h d fractional abundances down to mjy km s more than an order of magnitude below present upper limits this corresponds to ortho h d fractional abundance of e which is below any published model predictions a detection will constrain the ionization fraction in the cold disk midplane and help probe the gas kinematics and the viability of mri based disk transport physics in this region of the disk a non detection will challenge the existing models helping improve our understanding of accretion flows in the disk midplane,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
2011.0.00348.S,the physical environment of nascent super star clusters v will enable us to probe the molecular environments of nascent super star clusters for the first time allowing us to test theories of star formation in this extreme environment here we propose observations the dwarf starburst galaxy henize this galaxy is the nearest mpc known to host multiple nascent super star clusters our primary goal is to map the location of the dense gas in henize with respect to the natal clusters using hcn and hco these observations will spatially resolve the location and kinematics of the densest gas in a system with nascent sscs for the first time allowing us to assess the properties of the molecular clouds that give rise to this extreme star formation the kinematic information will be used to determine the virial masses of these clouds and constrain the star formation efficiency of super star clusters which is a major outstanding question in addition these data will measure the dust to gas ratio in these star forming regions as well as provide a number of additional molecular diagnostics that will yield a more refined analysis of the physical conditions this case study is well suited to early science capabilities and will provide immediate insight into an important mode of star formation the knowledge gained from this program will also serve to guide future observations of more distant galaxies,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2011.0.00351.S,first detection of hydrogen recombination lines toward an ionized jet arising from a high mass protostar we propose to observe hydrogen recombination line hrl emission from the triple radio continuum source associated with iras thought to correspond to a luminous x lsun young high mass protostar the triple source consists of a recently discovered central ionized jet and two outer lobes which signpost shocks resulting from the interaction of the jet with the surrounding medium the capabilities provided by early science enable for the first time measurements of the kinematical and dynamical properties of jets and lobes and link their energetic properties with those of larger scale phenomena such as bipolar molecular outflows iras is the most massive protostar known to be associated with a collimated jet and is therefore an excellent first target to be included in the much anticipated first round of studies of jets and outflows,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2011.0.00367.S,outflow entrainment in hh v we propose to study the molecular outflow from the hh flow this spectacular outflow shows one of the best defined cavities in the infrared and has been studied extensively in the optical and ir however a high resolution map of the entire molecular co outflow is still missing essential for obtaining a complete picture of the outflow phenomenon and its impact on the cloud the proposed mosaic will allow us to map the entire extent of the flow using the co line at a resolution with the data we will study the morphology velocity and momentum distribution of the entrained gas simultaneous observations of so and so lines will probe shocks along the outflow axis indicative of episodic ejection events we will use the data as well as the known properties of the protostellar wind from existing optical and ir data to model the outflow using a d hydro dynamical code this will allow us to study the outflow entrainment mechanism and wind collimation properties and will place constrains on the wind launching mechanism in addition we will test whether the asymmetry in the molecular outflow seen in single dish co observations is in fact due to the lack of molecular gas northeast of the source or is just due to a lack of sensitivity in the single dish observations simultaneous observations of c o will probe the impact of the outflow on the surrounding dense core gas this study will help increase our knowledge of the outflow entrainment mechanism and the outflow impact on the surrounding dense core of a class i ysos the first steps needed to fully understand the role of outflows in the core dispersal process,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
